temp,humidity,pressure,wind speed,precipitation
43,79,29.44,19,0.44
26,74,29.86,14,0.02
22,68,30.2,4,0
34,64,29.95,5,0
36,88,29.86,4,0.04
32,79,30.11,9,0
31,81,29.75,16,0.48
31,76,30.12,3,0
31,80,29.98,4,0.04
28,80,29.94,9,0.2
18,75,30.39,6,0
31,78,30.13,7,0.12
26,83,30.11,5,0.0000001
13,71,30.24,1,0
18,74,30.29,5,0
24,75,30.35,7,0
24,70,30.28,5,0.0000001
30,73,30.18,8,0
24,83,30.38,1,0
31,71,30.24,4,0
41,73,30.34,5,0
38,80,30.26,8,0.14
53,86,29.89,11,0.82
61,80,29.87,8,1.16
45,87,29.91,7,1.73
22,81,30.38,6,0
27,70,30.27,7,0
32,71,30.07,5,0
34,68,30.24,6,0
30,67,30.4,7,0
46,53,30.06,15,0
35,54,30.19,8,0
18,59,30.22,10,0.0000001
12,56,30.38,6,0
20,56,30.26,5,0
19,50,30.44,8,0.0000001
25,57,30.15,7,0.02
26,61,30.32,4,0
31,72,30.26,9,0.19
49,84,30.03,13,0.4
62,79,29.82,16,0
48,82,29.42,14,0.99
21,67,29.94,15,0.01
11,65,30.34,8,0.0000001
22,71,30.1,9,0.08
19,80,30.05,4,0.0000001
26,72,29.89,6,0.01
30,78,29.93,5,0
33,74,30.2,5,0
46,66,29.97,7,0.14
39,78,30.14,8,0.0000001
33,67,30.32,5,0
44,71,29.89,11,0.27
45,71,29.91,14,0
35,66,30.06,4,0
37,63,29.86,5,0
42,70,29.89,10,0
30,66,30.11,5,0.0000001
24,63,30.14,6,0
24,56,30.2,2,0
43,61,29.88,15,0.39
35,71,29.95,16,0.1
21,58,30.27,6,0
24,71,30.19,10,0.3
34,83,29.89,10,0.03
31,64,29.99,5,0
33,64,30.1,1,0
36,63,30.04,9,0
40,72,29.48,9,1.17
36,87,29.67,11,0.05
35,86,29.88,8,0.01
34,80,30.01,5,0.03
30,72,30.09,8,0.0000001
28,63,30.11,4,0.0000001
30,64,30.05,7,0.0000001
35,80,29.75,10,0.26
31,85,30.03,9,0.04
32,71,30.36,2,0
35,65,30.41,3,0
45,57,30.16,10,0.0000001
52,48,29.92,8,0
